"X","value"
"过去一年挑战","面对国内外风险挑战明显上升的复杂局面"
"总基调","坚持稳中求进工作总基调，坚持新发展理念……推动高质量发展，加快建设现代化经济体系"
"强调工作","坚决打赢三大攻坚战，全面做好“六稳”（稳就业、稳金融、稳外贸、稳外资、稳投资、稳预期）工作"
"经济预期","保持经济运行在合理区间"
"供给侧","坚持以供给侧结构性改革为主线"
"意义","确保全面建成小康社会和“十三五”规划圆满收官"
"创新","提升科技实力和创新能力"
"改革开放","坚持以改革开放为动力"
"改革","深化经济体制改革"
"外部问题","我们要坚持用辩证思维看待形势发展变化，增强必胜信心，善于把外部压力转化为深化改革、扩大开放的强大动力，集中精力办好自己的事"
"对外开放","建设更高水平开放型经济新体制"
"宏观政策","当前和今后一个时期，我国经济稳中向好、长期向好的基本趋势没有变……宏观政策要稳……运用好逆周期调节工具"
"微观","微观政策要活"
"社会","社会政策要托底"
"金融","确保不发生系统性金融风险"
"科技","提升科技实力和创新能力"
"投资","加强基础设施建设"
"区域","推动形成优势互补高质量发展的区域经济布局"
"脱贫","确保实现脱贫攻坚目标任务"
"环境","确保实现污染防治攻坚战阶段性目标"
"民生","确保困难群众基本生活得到有效保障和改善……落实安全生产责任制，确保社会大局和谐稳定"
"过去一年挑战","百年变局和世纪疫情"
"总基调","坚持稳中求进工作总基调，完整、准确、全面贯彻新发展理念，加快构建新发展格局……推动高质量发展"
"强调工作","继续做好“六稳”（稳就业、稳金融、稳外贸、稳外资、稳投资、稳预期）、“六保”（保居民就业、保基本民生、保市场主体、保粮食能源安全、保产业链供应链稳定、保基层运转）工作"
"经济预期","着力稳定宏观经济大盘，保持经济运行在合理区间，保持社会大局稳定"
"供给侧","坚持以供给侧结构性改革为主线"
"疫情","统筹疫情防控和经济社会发展……坚持“外防输入、内防反弹”，科学精准扎实做好疫情防控工作"
"意义","迎接党的二十大胜利召开"
"创新","坚持创新驱动发展"
"改革开放","全面深化改革开放"
"改革","改革开放政策要增强发展动力，有效推进区域重大战略和区域协调发展战略，抓好要素市场化配置综合改革试点"
"对外开放","扩大高水平对外开放"
"宏观政策","明年经济工作要稳字当头、稳中求进。宏观政策要稳健有效"
"财政","积极的财政政策要提升效能，更加注重精准、可持续"
"货币","稳健的货币政策要灵活适度，保持流动性合理充裕"
"微观","微观政策要激发市场主体活力"
"社会","社会政策要兜住民生底线，落实好就业优先政策，推动新的生育政策落地见效，推进基本养老保险全国统筹，健全常住地提供基本公共服务制度"
"金融","实现科技、产业、金融良性循环"
"科技","要强化知识产权保护……科技政策要加快落地，继续抓好关键核心技术攻关，强化国家战略科技力量，强化企业创新主体地位，实现科技、产业、金融良性循环"
"消费","实施好扩大内需战略，促进消费持续恢复"
"投资","积极扩大有效投资"
"区域","有效推进区域重大战略和区域协调发展战略"
"经济安全","统筹发展和安全；结构政策要着力畅通国民经济循环，提升制造业核心竞争力，增强供应链韧性"
"房地产","要推进保障性住房建设，支持商品房市场更好满足购房者的合理住房需求，促进房地产业健康发展和良性循环"
"民生","统筹安排煤电油气运保障供应，确保老百姓温暖过冬。要保障农民工工资发放"
"过去一年挑战","面对风高浪急的国际环境和艰巨繁重的国内改革发展稳定任务"
"总基调","坚持稳中求进工作总基调，完整、准确、全面贯彻新发展理念，加快构建新发展格局，着力推动高质量发展"
"强调工作","突出做好稳增长、稳就业、稳物价工作"
"经济预期","有效防范化解重大风险，推动经济运行整体好转，实现质的有效提升和量的合理增长"
"供给侧","把实施扩大内需战略同深化供给侧结构性改革有机结合起来"
"疫情","更好统筹疫情防控和经济社会发展……优化疫情防控措施"
"意义","为全面建设社会主义现代化国家开好局起好步"
"市场信心","大力提振市场信心"
"改革开放","全面深化改革开放"
"改革","要切实落实“两个毫不动摇”，增强我国社会主义现代化建设动力和活力"
"对外开放","要推进高水平对外开放，更大力度吸引和利用外资"
"宏观政策","明年要坚持稳字当头、稳中求进……加强各类政策协调配合，优化疫情防控措施，形成共促高质量发展的合力"
"财政","积极的财政政策要加力提效"
"货币","稳健的货币政策要精准有力"
"社会","社会政策要兜牢民生底线"
"金融","要有效防范化解重大经济金融风险，守住不发生系统性风险的底线"
"科技","科技政策要聚焦自立自强"
"消费","要着力扩大国内需求，充分发挥消费的基础作用"
"投资","充分发挥……投资的关键作用"
"经济安全","更好统筹发展和安全；产业政策要发展和安全并举；要加快建设现代化产业体系，提升产业链供应链韧性和安全水平"
"经济态度","要坚持真抓实干，激发全社会干事创业活力，让干部敢为、地方敢闯、企业敢干、群众敢首创"
"民生","要统筹做好重要民生商品保供稳价和煤电油气运保障供应，关心困难群众生产生活，保障农民工工资发放，抓紧抓实安全生产和防灾减灾工作，维护社会和谐稳定"
